id,simbol,analitic,denumire,tip
,6458.21,,Hrana acordata pentru angajatii proprii (P),P
,646,,Cheltuieli privind contrib.asig.pt.munca (A),A
,6461,,Cheltuieli privind contributia asiguratorie pentru,A
,6462,,Cheltuieli privind contributia asiguratorie pentru,A
,65,,Alte cheltuieli de exploatare,A
,652,,Cheltuieli cu protectia mediului inconjurator,A
,653,,Cotizatii si contributii datorate de pj fara scop,A
,6531,,Cotizatii si contributii la organisme din tara (A),A
,6532,,Cotizatii si contributii la organisme internationa,A
,654,,Pierderi din creante si debitori diversi,A
,654.01,,Pierderi din creante_deductibile fiscal,A
,654.02,,Pierderi din creante_nedeductibile fiscal,A
,655,,Cheltuieli din reevaluarea imobilizarilor corporal,A
,658,,Alte cheltuieli de exploatare,A
,6581,,"Despagubiri, amenzi si penalitati",A
,6581.01,,"Despagub, amenzi, penalit - deductibile fiscal",A
,6581.02,,"Despagub, amenzi, penalit - nedeductibile fiscal",A
,6582,,Donatii acordate,A
,6583,,Cheltuieli privind activele cedate si alte operati,A
,6584,,Chelt.cu sumele sau bunurile acordate ca sponsoriz,A
,6584.01,,Cheltuieli cu sumele sau bunurile acordate ca spo,A
,6584.02,,Cheltuieli cu sumele sau bunurile acordate ca spo,A
,6586,,Cheltuieli reprezentând transferuri si contributii,A
,6587,,Cheltuieli privind calamitatile si alte evenimente,A
,6588,,Alte cheltuieli de exploatare,A
,6588.01,,Alte cheltuieli de exploatare-ded fiscal,A
,6588.02,,Alte cheltuieli de exploatare-neded fiscal,A
,66,,Cheltuieli financiare,A
,663,,Pierderi din creante legate de participatii,A
,664,,Cheltuieli privind investitiile financiare cedate,A
,6641,,Cheltuieli privind imobilizarile financiare cedate,A
,6642,,Pierderi din investitiile pe termen scurt cedate,A
,665,,Cheltuieli din diferente de curs valutar monetare,A
,6651,,Diferente nefavorabile de curs valutar legate de,A
,6651.01,,DIFERENTE DE CURS DED. FISCAL,A
,6651.02,,DIFERENTE DE CURS NEDED. FISCAL,A
,6652,,Diferente nefavorabile de curs valutar din evaluar,A
,666,,Cheltuieli privind dobânzile,A
,666.01,,Cheltuieli privind dobânzile-deductibil,A
,666.02,,Cheltuieli privind dobânzile-nedeductibil,A
,667,,Cheltuieli privind sconturile acordate,A
,668,,Alte cheltuieli financiare,A
,68,,"Cheltuieli cu amortizarile, provizioanele si ajust",A
,681,,"Cheltuieli de exploatare privind amortizarile, pro",A
,6811,,Cheltuieli de exploatare privind amortizarea imobi,A
,6811.01,,Cheltuieli de exploatare privind amortizarea imobi,A
,6811.02,,Cheltuieli de exploatare privind amortizarea imobi,A
,6812,,Cheltuieli de exploatare privind provizioanele,A
,6813,,Cheltuieli de exploatare privind ajustarile pentru,A
,6814,,Cheltuieli de exploatare privind ajustarile pentru,A
,6814.01,,Cheltuieli de exploatare privind ajustarile_DED FL,A
,6814.02,,Cheltuieli de exploatare privind ajustaril_NED FIL,A
,6817,,Cheltuieli de exploatare privind ajustarile pentru,A
,686,,"Cheltuieli financiare privind amortizarile, proviz",A
,6861,,Cheltuieli privind actualizarea provizioanelor,A
,6863,,Cheltuieli financiare privind ajustarile pentru pi,A
,6864,,Cheltuieli financiare privind ajustarile pentru pi,A
,6868,,Cheltuieli financiare privind amortizarea primelor,A
,69,,Cheltuieli cu impozitul pe profit si alte impozite,A
,691,,Cheltuieli cu impozitul pe profit,A
,691.01,,CHELT.CU IMP.PE PROFIT,A
,691.02,,CHELT.CU IMP. MINIM,A
,694,,Cheltuieli cu impozitul pe profit rezultat din dec,A
,695,,Cheltuieli cu impozitul specific unor activitati (,A
,697,,Cheltuieli cu impozitul pe profit la nivelul impoz,A
,698,,Cheltuieli cu impozitul pe venit si cu alte impozi,A
,7,,Conturi de venituri,P
,70,,Cifra de afaceri neta,P
,701,,"Venituri din vânzarea produselor finite, produselo",P
,7015,,Venituri din vânzarea produselor finite,P
,7017,,Venituri din vânzarea produselor agricole,P
,7018,,Venituri din vânzarea activelor biologice de natur,P
,702,,Venituri din vânzarea semifabricatelor,P
,703,,Venituri din vânzarea produselor reziduale,P
,704,,Venituri din servicii prestate,P
,704.01,,Venituri din activit de evid contabila,P
,704.02,,Venituri din activitatea de audit financiar,P
,705,,Venituri din studii si cercetari,P
,706,,"Venituri din redevente, locatii de gestiune si chi",P
,707,,Venituri din vânzarea marfurilor,P
,707.01,,Venituri din activitatea financiar contabila,P
,708,,Venituri din activitati diverse,P
,709,,Reduceri comerciale acordate,P
,71,,Venituri aferente costului productiei in curs de e,P
,711,,Venituri aferente costurilor stocurilor de produse,P
,712,,Venituri aferente costurilor serviciilor in curs d,P
,72,,Venituri din productia de imobilizari,P
,721,,Venituri din productia de imobilizari necorporale,P
,722,,Venituri din productia de imobilizari corporale,P
,725,,Venituri din productia de investitii imobiliare,P
,73,,VENITURI DIN ACTIVITATILE FARA SCOP PATRIMONIAL (P,P
,731,,"Venituri din cotizatiile membrilor, contributiile",P
,7311,,Venituri din cotizatiile si taxele de înscriere al,P
,7312,,Venituri din contributiile banesti sau în natura a,P
,733,,Venituri din sponsorizari,P
,7331,,Venituri din donatii,P
,7332,,Venituri din sponsorizari,P
,738,,Alte venituri din activitatile fara scop patrimoni,P
,7388,,Alte venituri din activitatile fara scop patrimoni,P
,739,,Venituri din activitatea fara scop lucrativ,P
,74,,Venituri din subventii de exploatare,P
,741,,Venituri din subventii de exploatare,P
,7411,,Venituri din subventii de exploatare aferente cifr,P
,7412,,Venituri din subventii de exploatare pentru materi,P
,7413,,Venituri din subventii de exploatare pentru alte c,P
,7414,,Venituri din subventii de exploatare pentru plata,P
,7415,,Venituri din subventii de exploatare pentru asigur,P
,7416,,Venituri din subventii de exploatare pentru alte c,P
,7417,,Venituri din subventii de exploatare in caz de cal,P
,7418,,Venituri din subventii de exploatare pentru dobând,P
,7419,,Venituri din subventii de exploatare aferente alto,P
,75,,Alte venituri din exploatare,P
,754,,Venituri din creante reactivate si debitori divers,P
,755,,Venituri din reevaluarea imobilizarilor corporale,P
,758,,Alte venituri din exploatare,P
,7581,,"Venituri din despagubiri, amenzi si penalitati",P
,7582,,Venituri din donatii primite,P
,7583,,Venituri din vânzarea activelor si alte operatiuni,P
,7584,,Venituri din subventii pentru investitii,P
,7588,,Alte venituri din exploatare,P
,76,,Venituri financiare,P
,761,,Venituri din imobilizari financiare,P
,7611,,Venituri din actiuni detinute la entitatile afilia,P
,7612,,Venituri din actiuni detinute la entitati asociate,P
,7613,,Venituri din actiuni detinute la entitati controla,P
,7615,,Venituri din alte imobilizari financiare,P
,762,,Venituri din investitii financiare pe termen scurt,P
,764,,Venituri din investitii financiare cedate,P
,7641,,Venituri din imobilizari financiare cedate,P
,7642,,Câstiguri din investitii pe termen scurt cedate,P
,765,,Venituri din diferente de curs valutar,P
,7651,,Diferente favorabile de curs valutar legate de ele,P
,7651.01,,Diferente favorabile de curs valutar DED. FISCAL,P
,7651.02,,Diferente favorabile de curs valutar NEDED. FISCAL,P
,7652,,Diferente favorabile de curs valutar din evaluarea,P
,766,,Venituri din dobânzi,P
,767,,Venituri din sconturi obtinute,P
,768,,Alte venituri financiare,P
,78,,Venituri din provizioane si ajustari pentru deprec,P
,781,,Venituri din provizioane si ajustari pentru deprec,P
,7812,,Venituri din provizioane,P
,7813,,Venituri din ajustari pentru deprecierea imobiliza,P
,7814,,Venituri din ajustari pentru deprecierea activelor,P
,7815,,Venituri din fondul comercial negativ,P
,786,,Venituri financiare din ajustari pentru pierdere d,P
,7863,,Venituri financiare din ajustari pentru pierderea,P
,7864,,Venituri financiare din ajustari pentru pierderea,P
,794,,Venituri din impozitul pe profit rezultat din deco,P
,8,,Conturi speciale,A
,80,,Conturi in afara bilantului,A
,801,,Angajamente acordate,A
,8011,,Giruri si garantii acordate,A
,8018,,Alte angajamente acordate,A
,802,,Angajamente primite,A
,8021,,Giruri si garantii primite,A
,8028,,Alte angajamente primite,A
,803,,Alte conturi in afara bilantului,A
,8031,,Imobilizari corporale luate cu chirie,A
,8032,,Valori materiale primite spre prelucrare sau repar,A
,8033,,Valori materiale primite in pastrare sau custodie,A
,8034,,"Debitori scosi din activ, urmariti in continuare",A
,8035,,Stocuri de natura obiectelor de inventar date in f,A
,8036,,"Redevente, locatii de gestiune, chirii si alte dat",A
,8037,,Efecte scontate neajunse la scadenta,A
,8038,,"Bunuri primite in administrare, concesiune si cu c",A
,8039,,Alte valori in afara bilantului,A
,805,,Dobânzi aferente contractelor de leasing si altor,A
,8051,,Dobânzi de platit,A
,8052,,Dobânzi de incasat,A
,806,,Certificate de emisii de gaze cu efect de sera,A
,807,,Active contingente,A
,808,,Datorii contingente,A
,809,,Creante preluate prin cesionare,A
,89,,Bilant,A
,891,,Bilant de deschidere,A
,892,,Bilant de inchidere,A
,9,,Conturi de gestiune,A
,90,,Decontari interne,A
,901,,Decontari interne privind cheltuielile,A
,902,,Decontari interne privind productia obtinuta,A
,903,,Decontari interne privind diferentele de pret,A
,92,,Conturi de calculatie,A
,921,,Cheltuielile activitatii de baza,A
,922,,Cheltuielile activitatilor auxiliare,A
,923,,Cheltuieli indirecte de productie,A
,924,,Cheltuieli generale de administratie,A
,925,,Cheltuieli de desfacere,A
,93,,Costul productiei,A
,931,,Costul productiei obtinute,A
,933,,Costul productiei in curs de executie,A
